FID,BETA,FLUX_BETA,PIVOT_BETA,REDSHIFT,A,SIGMA,FLUX_LA,EW_LA
2426_169_8_754,-3.0687235013413035,189722368341.27316,2000.0,8.23,1069656647908.856,10.0,13320577481899.527,30.676596091146163
2426_169_8_755,-3.090674996456293,187865832192.59375,2000.0,8.23,1284539417563.8738,10.0,15996541388925.828,36.79903097800982
2426_169_8_756,-3.128441762021715,185948518615.9933,2000.0,8.23,1018785385053.8224,10.0,12687070833025.516,28.937693472486348
2426_169_8_757,-3.1284276534574715,186965347072.79025,2000.0,8.23,1105335685310.7131,10.0,13764893312703.893,31.225546588750575
2426_169_8_758,-2.9911517563323895,188252729749.52426,2000.0,8.23,1258957313175.7378,10.0,15677964017094.97,37.81963974280357
2426_169_8_759,-3.104370296603212,189641506610.54376,2000.0,8.23,876382872879.3423,10.0,10913713278762.053,24.70228669351492
2426_169_8_760,-2.9957385875412714,189890188623.56216,2000.0,8.23,1294335094106.4114,10.0,16118528260720.242,38.45921923271159
2426_169_8_761,-2.970143537742178,190423264145.0874,2000.0,8.23,1425564624605.9001,10.0,17752747177929.91,42.78143181177626
2426_169_8_762,-3.190416952935197,188278395419.42422,2000.0,8.23,841856127723.8574,10.0,10483747097613.592,22.898985276996918
2426_169_8_763,-3.0551495571993725,189732989062.78836,2000.0,8.23,912808794500.5282,10.0,11367330158770.402,26.35433953964479
2426_169_8_764,-3.0837383473139544,191400288688.77213,2000.0,8.23,959233947239.1621,10.0,11945468802953.998,27.065619660324185
2426_169_8_765,-3.086962836491879,186603557881.4868,2000.0,8.23,1257848483044.3887,10.0,15664155606977.785,36.345236377473825
2426_169_8_766,-3.0491850385828396,189444145783.8019,2000.0,8.23,1133537846579.6318,10.0,14116098603741.984,32.87450123985018
2426_169_8_767,-3.108931053876445,189844736095.9212,2000.0,8.23,1289116925865.785,10.0,16053545712816.91,36.21468169742798
2426_169_8_768,-3.0404933145639728,190382863147.664,2000.0,8.23,1194369729786.8943,10.0,14873646191761.318,34.61735614952205
2426_169_8_769,-3.057994163338731,189588139885.90262,2000.0,8.23,1099342063080.9231,10.0,13690253932426.83,31.719184917401993
2426_169_8_770,-3.040808788222529,190681588885.9084,2000.0,8.23,1280253998780.4167,10.0,15943174494923.883,37.04265906872521
2426_169_8_771,-3.044073768035826,191645990846.11502,2000.0,8.23,1186452883739.7808,10.0,14775056647734.26,34.100428949339786
2426_169_8_772,-3.0817981331138897,187581484042.46103,2000.0,8.23,918368324008.3259,10.0,11436563724247.984,26.465634244294534
2426_169_8_773,-3.1571156327047674,187083850973.83243,2000.0,8.23,1041761556537.843,10.0,12973196173422.023,28.99402308125284
2426_169_8_774,-3.0952049956280465,190571058276.6379,2000.0,8.23,1167281123241.7258,10.0,14536308146822.29,32.890930407772004
2426_169_8_775,-3.045289986137523,185795537781.25165,2000.0,8.23,972752090008.3124,10.0,12113812045170.904,28.82126937688919
2426_169_8_776,-3.1165409007776836,188852597624.64096,2000.0,8.23,1045787767269.9193,10.0,13023335114847.688,29.421630888343394
2426_169_8_777,-3.046537480362998,190775961906.28366,2000.0,8.23,1520809653336.9797,10.0,18938846275671.598,43.85587569032141
2426_169_8_778,-3.061349589669757,188859791580.3461,2000.0,8.23,1278292280761.5742,10.0,15918744957727.328,36.96287644346913
2426_169_8_779,-3.0834600545081514,193260996696.66666,2000.0,8.23,1062936822576.6859,10.0,13236894597137.4,29.70704199216122
2426_169_8_780,-3.1001088395128145,190446751199.30548,2000.0,8.23,1271705588520.3757,10.0,15836719997175.889,35.76932515672324
2426_169_8_781,-3.035911993970066,190773567997.66257,2000.0,8.23,1229244318758.356,10.0,15307944118532.43,35.63634664611612
2426_169_8_782,-3.0444255774474773,187236359272.62375,2000.0,8.23,1335432085855.2473,10.0,16630314602565.143,39.279383519754234
2426_169_8_783,-3.098751858324493,185704287553.66278,2000.0,8.23,1274172972416.7898,10.0,15867446659263.232,36.77879432287487
2426_169_8_784,-3.0190432957975086,190695665249.54758,2000.0,8.23,1073848695417.4507,10.0,13372781610911.59,31.406637445654287
2426_169_8_785,-3.1184304466176376,191968741018.5369,2000.0,8.23,1313041108977.5579,10.0,16351476768968.938,36.30659771075904
2426_169_8_786,-3.049472471662172,190658219987.13358,2000.0,8.23,1242703037115.8232,10.0,15475547340592.695,35.805854037059355
2426_169_8_787,-3.0429607403758197,187141513774.38324,2000.0,8.23,1186300437044.4453,10.0,14773158208622.004,34.93608260406076
2426_169_8_788,-3.08984232652419,191870805505.45636,2000.0,8.23,968939064497.0939,10.0,12066327927849.762,27.189691888938263
2426_169_8_789,-3.0814904555038245,184860822432.16806,2000.0,8.23,1128812120097.296,10.0,14057248499001.094,33.01403913752158
2426_169_8_790,-3.117057292952496,187906003465.5827,2000.0,8.23,1322128006649.5771,10.0,16464637122571.06,37.37381104954423
2426_169_8_791,-3.073688407716271,190413844009.65344,2000.0,8.23,1171417961922.8962,10.0,14587824752913.018,33.390395310842166
2426_169_8_792,-3.069484693797725,183919402271.31573,2000.0,8.23,1489099812263.6052,10.0,18543959378289.74,44.03652591360124
2426_169_8_793,-3.027788619064302,188793752160.7817,2000.0,8.23,1285928930551.7947,10.0,16013845180244.184,37.823202860564884
2426_169_8_794,-3.0546224483516307,185912412537.12564,2000.0,8.23,1347417474244.866,10.0,16779570249231.473,39.7121031143116
2426_169_8_795,-3.044639910730936,188365485657.1811,2000.0,8.23,1037842842729.5183,10.0,12924395905583.527,30.340098287544354
2426_169_8_796,-3.1396136643860633,190779390033.24948,2000.0,8.23,1361718384786.3562,10.0,16957661403343.447,37.48997176304913
2426_169_8_797,-3.105106809209121,189560652863.6837,2000.0,8.23,1161579994312.0647,10.0,14465311224781.639,32.742995833238126
2426_169_8_798,-2.9969182455145664,189800752865.60587,2000.0,8.23,1377094590565.8691,10.0,17149143353055.111,40.91354694626166
2426_169_8_799,-3.132060185855286,188937538443.54404,2000.0,8.23,1102592888898.9287,10.0,13730736901680.15,30.767257595588966
2426_169_8_800,-3.071050326672751,187604501388.56622,2000.0,8.23,1081759302922.4067,10.0,13471293465537.713,31.337603244111463
2426_169_8_801,-2.9955346139639456,190939812764.36612,2000.0,8.23,1454313258266.1892,10.0,18110757762839.824,42.979545702021
2426_169_9_802,-3.082844485483404,193272634744.43738,2000.0,8.23,1336817084726.9832,10.0,16647562178990.129,37.370666292854125
2426_169_9_803,-2.9646653549985964,196498829886.00366,2000.0,8.23,1037184033216.109,10.0,12916191662487.074,30.246026559947246
2426_169_9_804,-3.008853757684555,193990280270.8119,2000.0,8.23,1109160970886.112,10.0,13812530106246.11,32.05059883203444
2426_169_9_805,-3.1277282759419682,190458975856.60834,2000.0,8.23,1077248048923.8425,10.0,13415114215358.807,29.88425344366959
2426_169_9_806,-3.17333530493924,190368284131.54453,2000.0,8.23,958320974109.4657,10.0,11934099426307.023,26.000829136589807
2426_169_9_807,-3.048199671246232,193316282032.18054,2000.0,8.23,1160340901107.146,10.0,14449880631164.814,32.99396282159836
2426_169_9_808,-3.037031081295652,192370738868.04993,2000.0,8.23,1327915676432.1619,10.0,16536711749442.484,38.155994095035915
2426_169_9_809,-3.000524228632604,194219028368.86047,2000.0,8.23,936367554475.0863,10.0,11660710551658.229,27.137914477100814
2426_169_9_810,-2.9940967277455766,193866291269.5233,2000.0,8.23,1230639983952.8083,10.0,15325324524102.61,35.845930214898225
2426_169_9_811,-3.0849633288242866,189388582922.78943,2000.0,8.23,925112222240.7015,10.0,11520546392060.148,26.36403513784382
2426_169_9_812,-3.0420884542990305,193099440189.4002,2000.0,8.23,1071352507759.7429,10.0,13341696251727.537,30.590710558501293
2426_169_9_813,-3.0954711187607633,191155797465.22266,2000.0,8.23,862969448041.4225,10.0,10746674102966.297,24.23863000263504
2426_169_9_814,-3.1100918661733923,197176670638.16705,2000.0,8.23,657947652690.7684,10.0,8193510229506.93,17.78589970435914
2426_169_9_815,-2.980817050868388,193651769529.36465,2000.0,8.23,1276732048242.2605,10.0,15899315173222.248,37.47655928056629
2426_169_9_816,-3.0480169712038623,190888898702.14835,2000.0,8.23,994103578320.6705,10.0,12379704988457.572,28.629104709028965
2426_169_9_817,-3.068557187489021,198767350477.21176,2000.0,8.23,1008376701927.0365,10.0,12557450108145.293,27.60546150486325
2426_169_9_818,-3.0446563140319824,193577561354.8459,2000.0,8.23,1043590079556.3041,10.0,12995967015441.715,29.686438665283497
2426_169_9_819,-3.0730078446917983,195419030831.95023,2000.0,8.23,1234049652631.2505,10.0,15367785584768.744,34.28633603341279
2426_169_9_820,-3.0979087534591607,193194793436.39908,2000.0,8.23,928090836075.1268,10.0,11557639469028.059,25.761332540691278
2426_169_9_821,-3.0547039139665744,194529800390.29355,2000.0,8.23,1212688624048.4792,10.0,15101773835217.016,34.1566015336349
2426_169_9_822,-3.0181346773113926,191395537907.90756,2000.0,8.23,954529983189.3354,10.0,11886889708699.516,27.827444390196284
2426_169_9_823,-3.014318997052437,192074276318.95047,2000.0,8.23,1073655422074.0905,10.0,13370374752084.086,31.248990791645863
2426_169_9_824,-3.0347980907526084,191590362166.3419,2000.0,8.23,1156391833339.6714,10.0,14400702361408.107,33.3999090122614
2426_169_9_825,-3.0172291116384153,194247473441.21432,2000.0,8.23,892626066247.3734,10.0,11115991941018.139,25.652250535177906
2426_169_9_826,-3.0415868808673587,194367595606.3608,2000.0,8.23,1059404667016.2631,10.0,13192908190926.852,30.059698372258367
2426_169_9_827,-3.0113059300958858,197319783344.91788,2000.0,8.23,1149359218078.1443,10.0,14313124261767.725,32.611943331973706
2426_169_9_828,-3.06184845721552,190860464937.441,2000.0,8.23,1083488510107.0696,10.0,13492827514179.012,30.993855811784158
2426_169_9_829,-3.0058952961428984,196155697023.89597,2000.0,8.23,1173579840556.0974,10.0,14614746917045.143,33.58711474201326
2426_169_9_830,-3.0359296033900733,191994232177.13556,2000.0,8.23,1059058467450.1069,10.0,13188596921367.41,30.507113380448192
2426_169_9_831,-3.0044267083776544,195676162546.7178,2000.0,8.23,1292343663730.911,10.0,16093728711567.227,37.103809366424215
2426_169_9_832,-3.1105497500423094,191112726942.37744,2000.0,8.23,1063618260683.3489,10.0,13245380637136.0,29.65768416403197
2426_169_9_833,-2.9754393156593473,194177355465.0642,2000.0,8.23,1300886224002.4177,10.0,16200110358624.592,38.184271163994545
2426_169_9_834,-2.9780387707213767,194019304300.70837,2000.0,8.23,1246576629625.8179,10.0,15523785706860.566,36.57261046556812
2426_169_9_835,-3.025679035358523,193614791884.34412,2000.0,8.23,1286981691912.53,10.0,16026955358452.34,36.950366765990736
2426_169_9_836,-3.040755680908291,190519424882.18997,2000.0,8.23,1234351042755.735,10.0,15371538836350.291,35.74585428167156
2426_169_9_837,-3.049077291177251,192664545438.1724,2000.0,8.23,1235912319623.4214,10.0,15390981626265.516,35.24629602953128
2426_169_9_838,-3.071087814485596,194420327597.25616,2000.0,8.23,917682969672.594,10.0,11428028914924.338,25.652003630036955
2426_169_9_839,-3.0095256441880593,195244008492.74124,2000.0,8.23,975715957468.6536,10.0,12150721483567.553,28.004125155687255
2426_169_9_840,-3.0656352696033937,192678348043.81256,2000.0,8.23,1258587694031.6543,10.0,15673361100395.316,35.59584973170288
2426_169_9_841,-3.029397171545612,190730766747.1888,2000.0,8.23,1047833271730.6904,10.0,13048808055826.031,30.48264933238044
2426_169_9_842,-3.0644614319480565,192622058905.8305,2000.0,8.23,1154796290072.0269,10.0,14380832847425.342,32.689017615445664
2426_169_9_843,-2.964226247155438,195112812984.81128,2000.0,8.23,1374909977341.717,10.0,17121938072017.326,40.38832647192464
2426_169_9_844,-2.9790985620573593,190824769141.87744,2000.0,8.23,1172795975490.6528,10.0,14604985340412.096,34.965567327005544
2426_169_9_845,-3.066801281351878,194926564735.9948,2000.0,8.23,1244326286848.2156,10.0,15495761886891.338,34.766424134053494
2426_169_9_846,-3.0118872029732393,191277924576.64905,2000.0,8.23,1521276323725.4685,10.0,18944657784514.67,44.515283578463965
2426_169_9_847,-3.0572586013215823,191332507705.93262,2000.0,8.23,997609075498.3339,10.0,12423359414257.602,28.531916907856292
2426_169_9_848,-3.0246803699022258,195900415217.52176,2000.0,8.23,1176050700671.2605,10.0,14645516868950.09,33.38808100650511
2426_169_9_849,-3.000593662537845,195869263070.38382,2000.0,8.23,1246160240257.8762,10.0,15518600354299.863,35.81083796976808
2426_169_9_850,-3.029661746013815,193916370002.5212,2000.0,8.23,936162397423.4631,10.0,11658155703420.295,26.78309830118669
2426_169_9_851,-3.0439348275631333,194697638708.52274,2000.0,8.23,1120988378968.7148,10.0,13959818402992.879,31.71608263218929
2426_169_9_852,-3.072888483136416,191232640851.12073,2000.0,8.23,1214584915902.957,10.0,15125388611627.041,34.48632825126816
2426_169_9_853,-3.0195548599372444,193067661463.1419,2000.0,8.23,1217861068690.4758,10.0,15166186981023.428,35.1719794018217
2426_169_9_854,-3.0121430370019193,192452458976.71155,2000.0,8.23,1297646814725.0042,10.0,16159769561080.139,37.73493736856682
2426_169_9_855,-3.0427775983381213,195447782398.5654,2000.0,8.23,1188148199640.7026,10.0,14796168643680.504,33.50650307768636
2426_169_9_856,-3.021822365199808,191646255018.36374,2000.0,8.23,1359013854570.3257,10.0,16923981526379.936,39.49499350525984
2426_169_9_857,-2.956671935557,199266855708.56403,2000.0,8.23,1101911072265.364,10.0,13722246147835.352,31.813515879762466
2426_169_9_858,-2.973035600700477,194448845230.68628,2000.0,8.23,1315711775672.6548,10.0,16384734938971.354,38.611680954547005
2426_169_9_859,-2.9629108725092115,195932614415.43115,2000.0,8.23,1078919313329.0452,10.0,13435926694807.947,31.581585286226833
2426_169_9_860,-3.052302209074366,190191156769.04236,2000.0,8.23,1219219148517.0432,10.0,15183099330974.006,35.165925254428906
2426_169_9_861,-3.025237833422682,193553167950.39386,2000.0,8.23,1286243823660.8694,10.0,16017766586301.115,36.94905182975968
2426_169_9_862,-3.0514997920444724,195271903501.52966,2000.0,8.23,1233402923735.87,10.0,15359731783226.41,34.66324696137811
2426_169_9_863,-2.99471734823689,196844804689.15103,2000.0,8.23,1151844520047.0964,10.0,14344074060011.922,33.03291484018028
2426_169_9_864,-2.97808714496122,196364825437.84857,2000.0,8.23,927824119296.7463,10.0,11554318009268.904,26.89511646323701
2426_169_9_865,-3.0205103559350057,193318615457.5487,2000.0,8.23,1445530993696.9182,10.0,18001391046061.86,41.67310011217252
2426_169_9_866,-2.976729792624946,189999369604.6487,2000.0,8.23,1182101124119.9604,10.0,14720863602412.898,35.437846080677616
2426_169_9_867,-3.016399104437978,195951966295.39716,2000.0,8.23,803669088875.1411,10.0,10008198788926.805,22.90436856567348
2426_169_9_868,-3.092161837439212,192567264390.28088,2000.0,8.23,1180988834427.712,10.0,14707012109920.541,32.98213123048227
2426_169_9_869,-2.985627723520749,196403139250.48383,2000.0,8.23,1210452027711.0818,10.0,15073921201508.545,34.949486012839905
2426_169_9_870,-3.025912203211316,193423495883.53806,2000.0,8.23,1264998893516.654,10.0,15753200626152.307,36.35092267130564
2426_169_9_871,-3.0105264028361027,196509333454.46005,2000.0,8.23,1132391588748.2236,10.0,14101824101463.744,32.27553614942432
2426_169_9_872,-3.112104577333754,193638039103.36215,2000.0,8.23,1194330939793.5547,10.0,14873163134779.61,32.84271191339839
2426_169_9_873,-3.045686417130758,193168761560.90393,2000.0,8.23,1336454083590.1558,10.0,16643041677221.098,38.07831075905625
2426_169_9_874,-3.0309718192126356,192556928346.47034,2000.0,8.23,1098404289657.7095,10.0,13678575714403.504,31.62598108302669
2426_169_9_875,-2.9857130569090935,193739477188.35358,2000.0,8.23,1279593368942.4775,10.0,15934947583082.287,37.452175458150535
2426_169_9_876,-3.0776117024645324,193662784500.08417,2000.0,8.23,809307500637.8462,10.0,10078414685688.443,22.637456056719046
2426_169_9_877,-3.042335860590558,195897039632.4733,2000.0,8.23,924453244249.4683,10.0,11512340050886.793,26.01607600001359
2426_169_9_878,-3.0227789032935095,193180045974.54187,2000.0,8.23,1039144104775.2346,10.0,12940600696100.283,29.945065428828677
2426_169_9_879,-3.0784268810610436,190893258760.9224,2000.0,8.23,1082414884019.6074,10.0,13479457504734.78,30.703451483736043
2426_169_9_880,-3.0596377651288478,194518789431.88904,2000.0,8.23,1214620419189.0188,10.0,15125830738802.87,34.1290431279305
2426_169_9_881,-2.9488600628318413,198659287945.17917,2000.0,8.23,1389758700992.097,10.0,17306851216135.936,40.403518959052505
2426_169_9_882,-3.006428935047816,195373155728.61652,2000.0,8.23,1148377880359.6775,10.0,14300903531741.592,32.988727953089054
2426_169_9_883,-3.0393722949598962,194927822088.79306,2000.0,8.23,894897651238.37,10.0,11144280293115.465,25.346896795576093
2426_169_9_884,-2.9912369184984424,191617378331.7715,2000.0,8.23,1337908494267.968,10.0,16661153648162.59,39.483966527995335
2426_169_9_885,-3.033507897023107,197384988960.826,2000.0,8.23,1039032748467.9618,10.0,12939213961093.283,29.147942403908566
2426_169_9_886,-3.089977831122806,192351526022.15247,2000.0,8.23,932497268324.5311,10.0,11612513359927.234,26.099931277179827
2426_169_9_887,-3.0239764740324246,191319062359.82593,2000.0,8.23,1318530652199.7786,10.0,16419838785859.857,38.342894693240964
2426_169_9_888,-3.041670442919357,194987714682.62265,2000.0,8.23,1221842340710.9731,10.0,15215766294655.732,34.557033927429075
2426_169_9_889,-3.0956296292343763,194270601368.326,2000.0,8.23,1153013973294.1306,10.0,14358637417907.219,31.86349047164906
2426_169_9_890,-3.0167480349155555,195130702351.2513,2000.0,8.23,937889903330.065,10.0,11679668565818.07,26.837466762925775
2426_169_9_891,-3.0088169242030025,197019109533.1173,2000.0,8.23,1243003462693.158,10.0,15479288580539.414,35.36661439991282
2426_169_9_892,-3.058874043551223,191603775462.51038,2000.0,8.23,1089637580505.9277,10.0,13569402711322.672,31.094829037629083
2426_169_9_893,-3.16035258644975,190589142976.40945,2000.0,8.23,988593461834.316,10.0,12311086769953.283,26.96475062703817
2426_169_9_894,-3.0551866493244404,192449054680.59283,2000.0,8.23,1013108512119.2366,10.0,12616375974139.832,28.836817904900393
2426_169_9_895,-3.011686303253031,199730005330.42657,2000.0,8.23,1180971629237.0354,10.0,14706797851376.97,33.098282816632526
2426_169_9_896,-3.0982215269691022,191014296641.43835,2000.0,8.23,1149238528415.1682,10.0,14311621297232.252,32.25893005275981
2426_169_9_897,-3.0356381549783893,192140770133.65894,2000.0,8.23,1280763448076.3167,10.0,15949518735229.781,36.87073137313577
2426_169_9_898,-2.9717138616793792,199118755767.15436,2000.0,8.23,1250630549267.0361,10.0,15574269711042.479,35.86458928488267
2426_169_9_899,-3.0274369853705707,192348704749.79117,2000.0,8.23,1252159107488.8997,10.0,15593305051279.678,36.1555693981416
2426_169_9_900,-2.9416775572865075,195818663969.64352,2000.0,8.23,1160111438390.7292,10.0,14447023101228.26,34.338928114844755
2426_169_9_901,-3.04241048247478,192987173717.05554,2000.0,8.23,1134882190825.4397,10.0,14132839902665.93,32.41835106059852
2426_169_10_902,-3.1078287379690988,193058017423.27936,2000.0,8.23,1471252831738.1157,10.0,18321708539787.04,40.665736597950406
2426_169_10_903,-2.996499543403644,192746129003.6196,2000.0,8.23,1802217938363.9836,10.0,22443261334540.168,52.73675852201373
2426_169_10_904,-2.994845836467764,197488299174.23026,2000.0,8.23,1287915883712.3105,10.0,16038588974039.416,36.8125034163692
2426_169_10_905,-2.9814473466139106,193908049126.51923,2000.0,8.23,1511283868414.0273,10.0,18820220400359.03,44.28895139548298
2426_169_10_906,-3.0467520949364526,198628340724.894,2000.0,8.23,1311272246056.6147,10.0,16329448882133.152,36.314648632978404
2426_169_10_907,-3.02812377019565,196076073687.22272,2000.0,8.23,1422162124046.5479,10.0,17710375382810.74,40.269943424707954
2426_169_10_908,-3.0607340160636025,193568881631.5683,2000.0,8.23,1196201772304.9805,10.0,14896460862581.166,33.758026553089536
2426_169_10_909,-3.0579565467307,194094260256.95297,2000.0,8.23,1411852613398.0066,10.0,17581989666083.002,39.791026135567364
2426_169_10_910,-2.987817123146139,194014250719.24683,2000.0,8.23,1515335319400.8242,10.0,18870673662056.832,44.24289444244741
2426_169_10_911,-3.017407269070484,196038849204.18958,2000.0,8.23,1192189582214.401,10.0,14846496522081.662,33.94501131089573
2426_169_10_912,-2.9981800126848737,195461704606.24762,2000.0,8.23,1683088855634.2656,10.0,20959730913866.3,48.525937345277875
2426_169_10_913,-2.928104019662541,197558453534.06348,2000.0,8.23,1771154842471.3735,10.0,22056428441504.715,52.31615811537546
2426_169_10_914,-3.063558440849392,194229762843.88257,2000.0,8.23,1463778930339.8506,10.0,18228635044790.023,41.11093868524655
2426_169_10_915,-3.0020340635851217,195317816847.07703,2000.0,8.23,1410516632672.9,10.0,17565352519202.371,40.61925027521392
2426_169_10_916,-3.0113089832151627,199697144220.7019,2000.0,8.23,1599251259174.7368,10.0,19915690097854.34,44.83691391092998
2426_169_10_917,-3.012589341064829,196455128870.45596,2000.0,8.23,1815854273382.709,10.0,22613076440669.02,51.71681246216659
2426_169_10_918,-3.0582827760462186,197338158990.47244,2000.0,8.23,1673185898811.8545,10.0,20836408066379.94,46.373628881882226
2426_169_10_919,-2.9883495491121046,193617294971.98752,2000.0,8.23,1607942600939.9011,10.0,20023924540776.637,47.030514581238414
2426_169_10_920,-2.9952421433732157,191892065136.87454,2000.0,8.23,1647972710325.6677,10.0,20522424853680.266,48.46816341147675
2426_169_10_921,-2.990105289845112,196830345822.61758,2000.0,8.23,1746253421418.2593,10.0,21746327710400.137,50.198306271153186
2426_169_10_922,-3.040641401172287,193504137864.8836,2000.0,8.23,1429701769416.2178,10.0,17804267596287.906,40.766755897572374
2426_169_10_923,-3.0011544119568345,194734601276.11273,2000.0,8.23,1791982147596.2917,10.0,22315793661361.023,51.781691684443956
2426_169_10_924,-3.019138544379398,196927276465.38925,2000.0,8.23,1426747143717.6746,10.0,17767473246788.562,40.40542865546315
2426_169_10_925,-3.0283307647616753,194486870582.0021,2000.0,8.23,1653256614734.8362,10.0,20588226022893.656,47.19127967307629
2426_169_10_926,-3.0949088507774127,195919616833.24115,2000.0,8.23,1727404121148.569,10.0,21511594849894.99,47.35192934804573
2426_169_10_927,-3.0324942187501773,192537890099.634,2000.0,8.23,1633693022176.9158,10.0,20344597984867.113,47.007389135394476
2426_169_10_928,-3.0403337971196076,197902526589.69385,2000.0,8.23,1432751386135.7932,10.0,17842244881693.1,39.95185405355306
2426_169_10_929,-3.0461183899328295,194599428481.73563,2000.0,8.23,1395879040339.8188,10.0,17383068621652.21,39.47056892769865
2426_169_10_930,-3.034634656096311,192982621525.57147,2000.0,8.23,1541136285663.0469,10.0,19191976550115.086,44.194893851237396
2426_169_10_931,-2.997939102152372,195117371267.7897,2000.0,8.23,1688789101251.747,10.0,21030716835902.086,48.78205848593251
2426_169_10_932,-3.0399736097444205,195787102178.89548,2000.0,8.23,1518795282542.9146,10.0,18913761046414.082,42.81642985182877
2426_169_10_933,-2.9818791314254374,198227800529.75302,2000.0,8.23,1357599886419.5679,10.0,16906373191643.803,38.909808414506536
2426_169_10_934,-3.0298715348605265,190604221824.36865,2000.0,8.23,1575877268164.7798,10.0,19624610657626.445,45.863651256730144
2426_169_10_935,-3.0096213210166884,197719798010.25912,2000.0,8.23,1406256187760.1287,10.0,17512296628156.508,39.85381736497969
2426_169_10_936,-3.0051705927510484,192911045974.4252,2000.0,8.23,1756498035912.078,10.0,21873905266622.39,51.133814763836654
2426_169_10_937,-2.98395744097416,195024313294.3548,2000.0,8.23,1472953601010.0164,10.0,18342888447292.387,42.86501323533594
2426_169_10_938,-3.045178920531008,194869110308.32248,2000.0,8.23,1788534456134.796,10.0,22272859097885.61,50.527117836148676
2426_169_10_939,-3.0220621548809063,196905944951.26157,2000.0,8.23,1794509477134.648,10.0,22347266834555.23,50.75205117420838
2426_169_10_940,-3.0640443470066345,196731273741.6729,2000.0,8.23,1661157624023.442,10.0,20686618349646.203,46.050049153361684
2426_169_10_941,-2.9873134392367584,193595610231.3065,2000.0,8.23,1699557645874.0442,10.0,21164818964177.574,49.74136253655264
2426_169_10_942,-2.9983838448710056,196239896940.1143,2000.0,8.23,1554457051640.7468,10.0,19357861832715.895,44.63504062857558
2426_169_10_943,-3.011565938361827,196013033336.38766,2000.0,8.23,1826910911508.085,10.0,22750766235919.043,52.175635503118485
2426_169_10_944,-3.014050219854797,194969374988.19324,2000.0,8.23,1429237476700.3884,10.0,17798485696920.87,40.986078697261945
2426_169_10_945,-2.989130541261011,193624822157.2112,2000.0,8.23,1703389190859.8938,10.0,21212533706996.38,49.80092253305544
2426_169_10_946,-2.9924090733268636,197335419293.382,2000.0,8.23,1640239086927.401,10.0,20426117005835.97,46.976214969007984
2426_169_10_947,-3.0109002539275678,189729264442.99295,2000.0,8.23,1571162050498.4873,10.0,19565891420579.062,46.37307195390676
2426_169_10_948,-3.0027172851979524,196120310060.61053,2000.0,8.23,1586254070580.1748,10.0,19753834367738.34,45.47765463179752
2426_169_10_949,-2.9925954288368164,194750189488.63202,2000.0,8.23,1730460206705.566,10.0,21549652692598.88,50.2133684454746
2426_169_10_950,-3.0158888415114786,201874578197.27243,2000.0,8.23,1554930457153.3438,10.0,19363757214961.438,43.02593445242952
2426_169_10_951,-3.0256524298403193,194701728131.465,2000.0,8.23,1710553212220.7976,10.0,21301748224389.848,48.83795287751966
2426_169_10_952,-3.018220146204626,195067675541.6452,2000.0,8.23,1418757383731.5427,10.0,17667975695714.473,40.58073512244191
2426_169_10_953,-2.9706748741227202,197783032814.32263,2000.0,8.23,1887461265171.6006,10.0,23504807898828.438,54.52084556413717
2426_169_10_954,-3.0383982164347474,199947442498.24176,2000.0,8.23,1459658399649.3667,10.0,18177321524291.24,40.32470260095905
2426_169_10_955,-3.034982891727832,196203369331.56238,2000.0,8.23,1614525297621.9822,10.0,20105899744095.312,45.53154386883442
2426_169_10_956,-3.0887541647266366,190315087930.64444,2000.0,8.23,1566096721306.5244,10.0,19502812197816.523,44.32995323708825
2426_169_10_957,-3.011504394824768,194277905741.4302,2000.0,8.23,1723925231663.6606,10.0,21468271773256.062,49.67565957638824
2426_169_10_958,-3.053350502650345,191603520717.36252,2000.0,8.23,1537360637593.646,10.0,19144957899082.38,43.9922615274767
2426_169_10_959,-3.083321893294306,194707427815.31964,2000.0,8.23,1427077149561.0396,10.0,17771582853749.465,39.59049825279561
2426_169_10_960,-2.983242462006462,197958483988.69244,2000.0,8.23,1585404217459.1758,10.0,19743251033012.535,45.46980371760323
2426_169_10_961,-3.0617159415133535,198532360901.02505,2000.0,8.23,1724874228047.6108,10.0,21480089752312.4,47.43752733661423
2426_169_10_962,-2.965015883156372,196932925438.66458,2000.0,8.23,1646121896795.1475,10.0,20499376424928.812,47.88950753448881
2426_169_10_963,-3.085861065977819,195240279452.83984,2000.0,8.23,1434012104700.207,10.0,17857944778807.73,39.624210199654854
2426_169_10_964,-3.0557577953093955,199011630829.63452,2000.0,8.23,1247132149760.2832,10.0,15530703673488.795,34.31766435115702
2426_169_10_965,-3.023515495608686,200684601586.74487,2000.0,8.23,1675256591755.2468,10.0,20862194682905.535,46.453648663378246
2426_169_10_966,-3.049354792696073,193648464023.1484,2000.0,8.23,1564746824005.0857,10.0,19486001745947.156,44.391280058974544
2426_169_10_967,-3.009697309313843,192175766128.1552,2000.0,8.23,1382995866550.589,10.0,17222632733175.557,40.32380211334247
2426_169_10_968,-3.012512553050742,193427486671.35446,2000.0,8.23,1467001728827.684,10.0,18268768985947.367,42.4368522268612
2426_169_10_969,-3.0597170362108534,198413240076.80096,2000.0,8.23,1656013549130.2004,10.0,20622558496120.24,45.616419668426104
2426_169_10_970,-3.0508949533182337,196997132897.4274,2000.0,8.23,1347577928858.77,10.0,16781568412026.062,37.551625477974056
