MSAID,BETA,FLUX_BETA,PIVOT_BETA,REDSHIFT,A,SIGMA,FLUX_LA,EW_LA
1747_732,-1.9123918129998303,167465051052.7325,2000.0,8.226,-141750724207.15515,10.0,-1765240751596.2737,-8.188987750952963
1747_732,-1.9026497402750109,167833338160.89322,2000.0,8.226,-170518915461.3043,10.0,-2123494889877.256,-9.877099365505247
1747_732,-1.8691062049686247,170523501875.30347,2000.0,8.226,-288032844896.4169,10.0,-3586911590422.047,-16.697216979036522
1747_732,-1.8745542320288346,166661606013.26257,2000.0,8.226,-281720145713.78217,10.0,-3508298702113.482,-16.664448277516826
1747_732,-1.9125233860559685,167313415534.68295,2000.0,8.226,-119588048333.36533,10.0,-1489245980947.627,-6.9144508215855485
1747_732,-1.8850444368104124,167579965717.3678,2000.0,8.226,-136414787326.34776,10.0,-1698791615038.9082,-7.983259455073421
1747_732,-1.871461450644321,167613618340.2393,2000.0,8.226,-168861443625.40463,10.0,-2102854171138.6533,-9.94714326614448
1747_732,-1.8656152580065688,166437414328.86374,2000.0,8.226,-90627153850.40865,10.0,-1128592083551.7766,-5.3919809968654855
1747_732,-1.8851487190047078,167073099482.71866,2000.0,8.226,-123240717564.09015,10.0,-1534733160037.833,-7.233792328933637
1747_732,-1.8944964895533343,167890097364.6626,2000.0,8.226,-205679126750.8316,10.0,-2561349709668.548,-11.95811558313342
1747_732,-1.9218893025467483,168363309226.73264,2000.0,8.226,-213344227321.06598,10.0,-2656804233568.4585,-12.201394430053863
1747_732,-1.9364039001020488,167874980543.15283,2000.0,8.226,-209117133505.08636,10.0,-2604163668191.9946,-11.90808734812844
1747_732,-1.8904021198488605,167491989345.4502,2000.0,8.226,-255205586595.8726,10.0,-3178109346628.1294,-14.903176266364689
1747_732,-1.9026961506704498,168624443284.47775,2000.0,8.226,-123340616009.25478,10.0,-1535977208753.718,-7.110671988954915
1747_732,-1.8815971257063528,166849615133.12952,2000.0,8.226,-214889650055.58994,10.0,-2676049589842.182,-12.652501521912628
1747_732,-1.8959891769650081,166783617719.97485,2000.0,8.226,-201795994350.85468,10.0,-2512992541868.3633,-11.801414932028695
1747_732,-1.9468017672514721,165711093700.663,2000.0,8.226,-191542792274.13727,10.0,-2385308043313.5435,-10.992712589848953
1747_732,-1.8876226487465648,167093633509.6773,2000.0,8.226,-171574838721.5138,10.0,-2136644443644.3054,-10.057203690244986
1747_732,-1.9130606849195035,167350488766.8176,2000.0,8.226,-219287538001.28253,10.0,-2730817077388.455,-12.672768338704017
1747_732,-1.896475077165217,166585781022.49277,2000.0,8.226,-115110770885.84508,10.0,-1433489845303.3708,-6.7382624639365485
1747_732,-1.9391583852941339,169080989520.4005,2000.0,8.226,-278152426439.4111,10.0,-3463869416206.12,-15.70474897928061
1747_732,-1.9065201612858194,165950994746.73495,2000.0,8.226,-167058218969.7889,10.0,-2080398373017.127,-9.767567028040336
1747_732,-1.908979493658253,168005234989.6656,2000.0,8.226,-246196594583.3521,10.0,-3065919162625.5015,-14.201231238264043
1747_732,-1.8976466146766242,166880607155.18515,2000.0,8.226,-228865603112.08054,10.0,-2850094004893.349,-13.365687113690132
1747_732,-1.9094913813253145,164875849813.173,2000.0,8.226,-182510075277.42975,10.0,-2272822408905.6196,-10.724718778878138
1747_732,-1.9100569546967816,167043335312.11362,2000.0,8.226,-228007891858.5141,10.0,-2839412811789.2803,-13.220703958939374
1747_732,-1.8639337573609347,169963985942.5602,2000.0,8.226,-220350514044.2056,10.0,-2744054460403.1353,-12.848772203473228
1747_732,-1.8719602641959034,167416981905.82382,2000.0,8.226,-118391285257.68132,10.0,-1474342530097.4163,-6.980548887798573
1747_732,-1.9451728938928676,166690087684.63794,2000.0,8.226,-174389425915.95096,10.0,-2171694874901.9312,-9.957564591279993
1747_732,-1.8839856837951585,167912044235.47293,2000.0,8.226,-178017525209.1536,10.0,-2216876081269.8037,-10.402810220916894
1747_732,-1.910300984726229,169274357930.52982,2000.0,8.226,-192776200585.9459,10.0,-2400667842196.6885,-11.029183004491966
1747_732,-1.9074228204733463,165501311146.22595,2000.0,8.226,-185864673039.00876,10.0,-2314597664073.2686,-10.891775872385109
1747_732,-1.9125485153382067,167981123601.58627,2000.0,8.226,-196865312852.64288,10.0,-2451590104861.6533,-11.337151911708489
1747_732,-1.9020511754389868,168857028643.2641,2000.0,8.226,-172978437839.50537,10.0,-2154123651428.5454,-9.961788462380888
1747_732,-1.8837233449236037,167471846032.1203,2000.0,8.226,-254266431275.14166,10.0,-3166413919648.7935,-14.899568673881841
1747_732,-1.8924838926675356,166815805268.15167,2000.0,8.226,-176354068304.1081,10.0,-2196160829663.6165,-10.329539588287027
1747_732,-1.8827368491588938,168428601972.08325,2000.0,8.226,-257672437396.59818,10.0,-3208829370006.528,-15.020758107357192
1747_732,-1.920882808500124,165358005591.89893,2000.0,8.226,-141759074931.9854,10.0,-1765344744290.9011,-8.258843661779487
